Time_sin,B_TCS,G_TCS,R_TCS,CS,CLA2.0,Illuminance (Test),mEDI(Test),EML,CCT
0.819152044,3826,3954,3147,0.63933127,3010.746207,2173.735625,1990.373629,2197.253252,6019.964134
0.806444604,3952,4098,3269,0.641848185,3139.865456,2266.983287,2069.205738,2284.279177,5997.069343
0.79335334,4063,4225,3376,0.643484635,3229.662835,2331.921199,2123.884017,2344.640722,5979.927712
0.779884483,4180,4358,3486,0.645732095,3361.352418,2429.17079,2203.892666,2432.965477,5950.013315
0.766044443,4224,4406,3532,0.64571381,3360.239221,2430.318422,2202.56267,2431.497242,5941.446205
0.751839807,4355,4550,3648,0.647910147,3499.249397,2527.393953,2285.767705,2523.350616,5926.318155
0.737277337,4438,4637,3718,0.648911927,3566.418237,2573.663702,2324.858593,2566.504614,5917.206526
0.722363962,4504,4703,3782,0.648657189,3549.102193,2552.287167,2311.853561,2552.147838,5936.652863
0.707106781,4707,4888,3905,0.65215668,3802.272766,2704.914867,2457.51526,2712.949628,5966.716813
0.691513056,4869,5009,3962,0.654628663,4003.402621,2813.688457,2569.74605,2836.845697,6012.146737
0.675590208,5074,5192,4086,0.657174645,4233.552678,2943.739936,2698.826342,2979.342606,6046.073038
0.659345815,5181,5273,4140,0.657989999,4312.854465,2974.481189,2739.037898,3023.733755,6084.230916
0.64278761,5348,5437,4265,0.659477267,4465.307968,3062.105022,2824.093398,3117.629933,6098.163851
0.625923472,5470,5560,4363,0.660659981,4594.352235,3142.299655,2896.831714,3197.928676,6094.883532
0.608761429,5573,5669,4458,0.661063905,4640.129839,3170.5879,2922.2401,3225.978012,6092.488219
0.591309648,5678,5780,4546,0.66200965,4750.929801,3241.73015,2984.290682,3294.478137,6083.488533
0.573576436,5747,5856,4611,0.66216102,4769.152378,3253.708171,2994.45867,3305.702987,6081.048019
0.555570233,5830,5940,4678,0.662750037,4841.400034,3301.195906,3035.117359,3350.587743,6070.917777
0.537299608,5942,6054,4763,0.663479383,4933.928072,3358.872841,3086.618577,3407.442003,6067.226069
0.518773258,5977,6096,4805,0.663353178,4917.666638,3352.849039,3077.7939,3397.700088,6057.275972
0.5,6057,6200,4899,0.663895426,4988.300288,3408.847673,3119.833304,3444.109072,6031.692601
0.480988769,6162,6331,5020,0.664365295,5051.157753,3457.382095,3156.766818,3484.881459,6013.057393
0.461748613,6296,6499,5175,0.665092826,5151.65646,3534.89621,3215.937321,3550.202149,5981.261797
0.44228869,6465,6707,5367,0.666135227,5302.797934,3643.218894,3303.374589,3646.727656,5955.302239
0.40274669,6525,6810,5494,0.66477289,5106.975215,3516.404871,3194.228174,3526.236552,5973.619846
0.382683432,5623,5730,4552,0.652030668,3792.548085,2487.717074,2418.6836,2670.081801,6624.826801
0.321439465,7091,7544,6177,0.668855903,5742.465539,4031.855698,3565.662159,3936.27742,5753.538572
0.3007058,6373,6702,5480,0.659673197,4486.188151,3066.077084,2838.883183,3133.956969,6142.795921
